Course_Code,Course_Subject,Database ,OS,AI,Data Science,Graphics,Networking,Developer,Security
CSC 501 , Operating Systems Principles,3,5,1,1,0,3,3,2
CSC 503 , Computational Applied Logic,2,3,3,3,1,2,2,1
CSC 505 , Design and Analysis Of Algorithms,2,4,3,3,2,3,5,3
CSC 506 , Architecture Of Parallel Computers,3,3,1,1,0,5,2,2
CSC 510 , Software Engineering,3,4,2,2,1,2,5,3
CSC 512 , Compiler Construction,2,4,1,0,1,2,4,1
CSC 513 , Electronic Commerce Technology,0,1,0,1,0,1,2,3
CSC 515 , Software Security,2,3,1,0,0,3,2,5
CSC 517 , Object Oriented Design and Development,2,4,2,2,2,0,4,2
CSC 519 , DevOps: Modern Software Engineering Practices,3,4,1,1,0,1,4,2
CSC 520 , Artificial Intelligence I,1,2,5,3,0,0,2,1
CSC 522 , Automated Learning and Data Analysis,3,1,4,5,0,0,2,1
CSC 530 , Computational Methods for Molecular Biology,0,0,1,1,0,0,0,0
CSC 540 , Database Management concepts and Systems,5,3,1,3,0,2,2,0
CSC 541 , Advanced Data Structures,3,3,3,3,3,2,5,3
CSC 546 , Management Decision and Control Systems,3,3,1,1,0,1,4,2
CSC 547 , Cloud Computing Technology,4,3,1,2,0,5,2,0
CSC 548 , Parallel Systems,2,2,0,0,0,5,1,0
CSC 554 , Human Computer Interaction,2,3,1,0,5,3,2,0
CSC 555 , Social Computing,2,1,3,4,2,1,2,0
CSC 561 , Principles of Computer Graphics,2,2,1,1,5,0,0,0
CSC 562 , Introduction to Game Engine Design,1,0,1,1,4,0,0,0
CSC 563 , Visual Interfaces for Mobile Devices,2,2,0,1,4,2,0,0
CSC 565 , Graph Theory,2,2,4,4,0,1,2,0
CSC 568 , Enterprise Storage Architecture,4,3,1,1,0,2,0,0
CSC 570 , Computer Networks,2,3,1,0,0,5,0,0
CSC 573 , Internet Protocols,2,1,1,0,0,5,0,0
CSC 574 , Computer and Network Security,1,1,0,0,0,5,0,0
CSC 575 , Introduction to Wireless Networking,1,1,0,0,0,5,0,0
CSC 576 , Networking Services- QoS-Signaling-Processes,0,1,0,0,0,5,0,0
CSC 577 , Switched Network Management,1,0,1,0,0,5,0,0
CSC 579 , Introduction to Computer Performance Modeling,2,4,0,1,1,2,2,0
CSC 580 , Numerical Analysis I,1,3,2,2,0,2,1,0
CSC 582 , Computer Models of Interactive Narrative,1,3,0,0,0,2,0,0
CSC 583 , Introduction to Parallel Computing,2,3,0,0,0,4,0,0
CSC 584 , Building Game AI,2,0,4,2,3,0,1,0
CSC 705 , Operating Systems Security,3,4,0,0,0,3,0,5
CSC 707 ," Automata, Languages and Computability Theory",0,1,1,1,0,1,0,0
CSC 710 , Software Engineering as a Human Activity,2,3,2,2,3,2,0,0
CSC 712 , Software Testing and Reliability,2,4,0,0,0,1,2,0
CSC 720 , Artificial Intelligence II,1,1,5,3,0,0,0,0
CSC 722 , Advanced Topics in Machine Learning,0,0,5,4,0,0,0,0
CSC 724 , Advanced Distributed Systems,3,3,0,1,0,4,0,0
CSC 742 , Database Management Systems,5,3,0,3,0,3,0,0
CSC 743 , Secure Data Management,5,3,0,1,0,2,0,3
CSC 750 , Service Oriented Computing,1,3,1,1,1,3,0,0
CSC 761 , Advanced Topics in Computer Graphics,0,1,0,0,5,0,0,0
CSC 766 , Code Optimization for Scalar and Parallel Programs,2,3,0,0,0,4,2,0
CSC 772 , Survivable Networks,2,3,1,0,0,5,0,2
CSC 773 , Advanced Topics in Internet Protocols,2,1,1,0,0,5,0,4
CSC 774 , Advanced Network Security,1,1,0,0,0,5,0,5
CSC 775 , Advanced Topics in Wireless Networking,1,1,0,0,0,5,0,3
CSC 776 , Design and Performance Evaluation of Network Systems and Services,0,1,0,0,0,5,1,3
CSC 777 , Telecommunications Network Design,1,0,1,0,0,5,0,2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
